title,author
(RE)BORN IN THE USA,Roger Bennett
21ST BIRTHDAY,James Patterson and Maxine Paetro
22 SECONDS,James Patterson and Maxine Paetro
5 MORE SLEEPS 'TIL CHRISTMAS,Jimmy Fallon.
A COURT OF SILVER FLAMES,Sarah J. Maas
A DAY WITH NO WORDS,Tiffany Hammond.
A GAMBLING MAN,David Baldacci
A MAGIC STEEPED IN POISON,Judy I. Lin
A PROMISED LAND,Barack Obama
A SLOW FIRE BURNING,Paula Hawkins
A STUDY IN DROWNING,Ava Reid
A TIME FOR MERCY,John Grisham
A WALK ALONG THE BEACH,Debbie Macomber
A WORLD OF CURIOSITIES,Louise Penny
"AARON SLATER, ILLUSTRATOR",Andrea Beaty.
ABANDONED IN DEATH,J.D. Robb
"ALI CROSS: LIKE FATHER, LIKE SON",James Patterson
ALL ABOUT LOVE,bell hooks
ALL GOOD PEOPLE HERE,Ashley Flowers with Alex Kiester
ALL THAT GLITTERS,Danielle Steel
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr
AMARI AND THE GREAT GAME,B.B. Alston
AMBITIOUS GIRL,Meena Harris.
AMERICAN MARXISM,Mark R. Levin
AN UNAPOLOGETIC COOKBOOK,Joshua Weissman
ANATOMY,Dana Schwartz
APPLES NEVER FALL,Liane Moriarty
ARISTOTLE AND DANTE DIVE INTO THE WATERS OF THE WORLD,Benjamin Alire Saenz
ASSISTANT TO THE VILLAIN,Hannah Nicole Maehrer
ATLAS OF THE HEART,Brené Brown
ATOMIC HABITS,James Clear
AWESOME FRIENDLY KID,and   Jeff Kinney
BABEL,R.F. Kuang
BAKING YESTERYEAR,B. Dylan Hollis
BATTLE FOR THE AMERICAN MIND,Pete Hegseth with David Goodwin
BE USEFUL,Arnold Schwarzenegger
BEAUTIFUL,Danielle Steel
"BEAUTIFUL WORLD, WHERE ARE YOU",Sally Rooney
BECAUSE I HAD A TEACHER,Kobi Yamada.
BECOMING: ADAPTED FOR YOUNG READERS,Michelle Obama
BETTER OFF DEAD,Lee Child and Andrew Child
BEYOND ORDER,Jordan B. Peterson
BEYOND THE STORY,BTS and Myeongseok Kang
BEYOND THE WAND,Tom Felton
BIG HEART LITTLE STOVE,Erin French with Rachel Holtzman
BILLY SUMMERS,Stephen King
BITTERSWEET,Susan Cain
BLACK BOY JOY,edited  Kwame Mbalia
BLACK ICE,Brad Thor
BLADE BREAKER,Victoria Aveyard
BLOODLESS,Douglas Preston and Lincoln Child
BLOODMARKED,Tracy Deonn
BOOK LOVERS,Emily Henry
BOOKSHOPS & BONEDUST,Travis Baldree
BREAKING HISTORY,Jared Kushner
BROKEN HORSES,Brandi Carlile
BUILD THE LIFE YOU WANT,Arthur C. Brooks and Oprah Winfrey
CALL US WHAT WE CARRY,Amanda Gorman
CARRIE SOTO IS BACK,Taylor Jenkins Reid
CAT KID COMIC CLUB,Dav Pilkey
"CATCH A CRAYFISH, COUNT THE STARS",Steven Rinella with Brody Henderson.
CHAIN OF IRON,Cassandra Clare
"CHAINSAW MAN, VOL. 12",Tatsuki Fujimoto
CHANGE SINGS,Amanda Gorman.
CHECK & MATE,Ali Hazelwood
COLLABORATIONS,Dav Pilkey
CONCRETE ROSE,Angie Thomas
CONFIDENCE MAN,Maggie Haberman
CREEPY CRAYON!,Aaron Reynolds.
CROSS DOWN,James Patterson and Brendan DuBois
DARK ANGEL,John Sandford
DEATH OF THE BLACK WIDOW,James Patterson and J.D. Barker
DESERT STAR,Michael Connelly
DIRTY THIRTY,Janet Evanovich
DIVINE RIVALS,Rebecca Ross
DOG MAN,Dav Pilkey
DON'T LET THE PIGEON DRIVE THE SLEIGH!,Mo Willems
DREAM TOWN,David Baldacci
DREAMLAND,Nicholas Sparks
"EAT BETTER, FEEL BETTER",Giada De Laurentiis
ELON MUSK,Walter Isaacson
ENCORE IN DEATH,J.D. Robb
ENOUGH,Cassidy Hutchinson
ENOUGH ALREADY,Valerie Bertinelli
FAIRY TALE,Stephen King
FAITH STILL MOVES MOUNTAINS,Harris Faulkner
FAMILY OF LIARS,E. Lockhart
FEEDING THE SOUL (BECAUSE IT'S MY BUSINESS),Tabitha Brown
FINAL SEASON,Tim Green
FINALLY SEEN,Kelly Yang
FINDING ME,Viola Davis
FIREKEEPER'S DAUGHTER,Angeline Boulley
FIVE SURVIVE,Holly Jackson
FORGOTTEN IN DEATH,J.D. Robb
FOUR HUNDRED SOULS,edited  Ibram X. Kendi and Keisha N. Blain
FOXGLOVE,Adalyn Grace
FREED,E.L. James
FREEZING ORDER,Bill Browder
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry
FROM STRENGTH TO STRENGTH,Arthur C. Brooks
GALLANT,V.E. Schwab
GILDED,Marissa Meyer
GIRLS LIKE GIRLS,Hayley Kiyoko
GO TELL THE BEES THAT I AM GONE,Diana Gabaldon
GO-TO DINNERS,Ina Garten
GOING INFINITE,Michael Lewis
GOING THERE,Katie Couric
GOLDEN GIRL,Elin Hilderbrand
GOOD INSIDE,Becky Kennedy
GROUND ZERO,Alan Gratz
"GUSTAVO, THE SHY GHOST",Flavia Z. Drago
HALF BAKED HARVEST EVERY DAY,Tieghan Gerard
HAPPY PLACE,Emily Henry
HAPPY-GO-LUCKY,David Sedaris
HATTIE HARMONY: WORRY DETECTIVE,Elizabeth Olsen and Robbie Arnett.
HEAT 2,Michael Mann and Meg Gardiner
HELL BENT,Leigh Bardugo
HERE'S THE DEAL,Kellyanne Conway
HERE'S TO US,Becky Albertalli and Adam Silvera
HIDDEN POTENTIAL,Adam Grant
HIGH STAKES,Danielle Steel
HOLLY,Stephen King
HOME BODY,Rupi Kaur
"HOOK, LINE, AND SINKER",Tessa Bailey
HOOKY VOL. 3,Míriam Bonastre Tur
HOUSE OF ROOTS AND RUIN,Erin A. Craig
HOUSE OF SKY AND BREATH,Sarah J. Maas
HOW I SAVED THE WORLD,Jesse Watters
HOW THE WORD IS PASSED,Clint Smith
HOW TO AVOID A CLIMATE DISASTER,Bill Gates
HOW TO BE THE LOVE YOU SEEK,Nicole LePera
HOW TO CATCH A LEPRECHAUN,Adam Wallace.
HOW TO CATCH AN ELF,Adam Wallace.
HOW TO DO THE WORK,Nicole LePera
I ALONE CAN FIX IT,Carol Leonnig and Philip Rucker
I AM NOT YOUR PERFECT MEXICAN DAUGHTER,Erika L. Sánchez
I KISSED SHARA WHEELER,Casey McQuiston
I MUST BETRAY YOU,Ruta Sepetys
I WILL FIND YOU,Harlan Coben
I'M GLAD MY MOM DIED,Jennette McCurdy
I'M SO GLAD YOU WERE BORN,Ainsley Earhardt.
ICEBERG,Jennifer A. Nielsen
IDENTITY,Nora Roberts
IF HE HAD BEEN WITH ME,Laura Nowlin
IMMORTALITY,Dana Schwartz
IN THE BLOOD,Jack Carr
INFLUENCERS,Dav Pilkey
INSTRUCTIONS FOR DANCING,Nicola Yoon
INVISIBLE,Danielle Steel
IRON FLAME,Rebecca Yarros
IRON WIDOW,Xiran Jay Zhao
IT STARTS WITH US,Colleen Hoover
JAMES PATTERSON,James Patterson
JESSI'S SECRET LANGUAGE,Ann M. Martin.
JUDGMENT PREY,John Sandford
"JUJUTSU KAISEN, VOL. 17",Gege Akutami
JUST AS I AM,Cicely Tyson with Michelle Burford
JUST BECAUSE,Matthew McConaughey.
KEEP SHARP,Sanjay Gupta with Kristin Loberg
KILLING THE KILLERS,Bill O'Reilly and Martin Dugard
KILLING THE MOB,Bill O'Reilly and Martin Dugard
KING OF GREED,Ana Huang
KINGDOM OF THE CURSED,Kerri Maniscalco
KINGDOM OF THE WICKED,Kerri Maniscalco
LATER,Stephen King
LEGACY,Nora Roberts
LESSONS IN CHEMISTRY,Bonnie Garmus
LIFE AFTER DEATH,Sister Souljah
LIFE FORCE,Tony Robbins and Peter H. Diamandis with Robert Hariri
LIGHTER,Yung Pueblo
LIGHTLARK,Alex Aster
LITTLE BLUE TRUCK MAKES A FRIEND,Alice Schertle and Jill McElmurry
LITTLE BLUE TRUCK'S VALENTINE,Alice Schertle.
LIVING THE CONFIDENCE CODE,"Katty Kay, Claire Shipman and JillEllyn Riley"
LONG LIVE THE PUMPKIN QUEEN,Shea Ernshaw
LONG SHADOWS,David Baldacci
LORE,Alexandra Bracken
"LORE OLYMPUS, VOL. 1",Rachel Smythe
"LORE OLYMPUS, VOL. 2",Rachel Smythe
"LORE OLYMPUS, VOL. 3",Rachel Smythe
LOVE FROM THE VERY HUNGRY CATERPILLAR,Eric Carle
"LOVE, THEORETICALLY",Ali Hazelwood
"MAGNOLIA TABLE, VOL. 3",Joanna Gaines
MEET ME AT THE LAKE,Carley Fortune
MERCY,David Baldacci
MIDNIGHT IN WASHINGTON,Adam Schiff
MISS PEREGRINE’S PECULIAR CHILDREN,Ransom Riggs
