title,author
1964,Paul McCartney
1ST CASE,James Patterson and Chris Tebbetts
2 SISTERS DETECTIVE AGENCY,James Patterson and Candice Fox
8 RULES OF LOVE,Jay Shetty
A DAY OF FALLEN NIGHT,Samantha Shannon
A FLICKER IN THE DARK,Stacy Willingham
A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson
A HORSE NAMED SKY,Rosanne Parry.
A HUNTER-GATHERER'S GUIDE TO THE 21ST CENTURY,Heather Heying and Bret Weinstein
A LONG WALK TO WATER,Linda Sue Park
A SACRED OATH,Mark T. Esper
A TWISTED TALE,Liz Braswell
A VENOM DARK AND SWEET,Judy I. Lin
AFTER THE FALL,Ben Rhodes
AGAINST ALL ODDS,Alex Kershaw
AIN'T BURNED ALL THE BRIGHT,Jason Reynolds.
ALL ABOUT ME!,Mel Brooks
ALL AMERICAN CHRISTMAS,Rachel Campos-Duffy and Sean Duffy
ALL OF US VILLAINS,Amanda Foody and Christine Lynn Herman
AMARI AND THE NIGHT BROTHERS,B.B. Alston
AMERICAN PROMETHEUS,Kai Bird and Martin J. Sherwin
AMERICAN ROYALS,Katharine McGee
AN ELEPHANT & PIGGIE BIGGIE! VOL. 5,Mo Willems
AN OFFER FROM A GENTLEMAN,Julia Quinn
AND THERE WAS LIGHT,Jon Meacham
ANTIRACIST BABY,Ibram X. Kendi.
ASTOR,Anderson Cooper and Katherine Howe
"ATTACK ON TITAN, VOL. 34",Hajime Isayama
BABY-SITTERS CLUB GRAPHIX,Ann M. Martin; various illustrators
BABY-SITTERS LITTLE SISTER: KAREN'S WORST DAY,Ann M Martin
BEAUTIFUL COUNTRY,Qian Julie Wang
BECOMING,Michelle Obama
BEING HENRY,Henry Winkler with James Kaplan
BELIEVE IT,Jamie Kern Lima
"BEST WISHES, WARMEST REGARDS",Daniel Levy and Eugene Levy
BETRAYAL,Jonathan Karl
BETTER THAN THE MOVIES,Lynn Painter
BETTING ON YOU,Lynn Painter
BILLIE EILISH,Billie Eilish
BLIND TIGER,Sandra Brown
BORN A CRIME,Trevor Noah
BOYS WILL BE HUMAN,Justin Baldoni
BRAIDING SWEETGRASS,Robin Wall Kimmerer
BROKEN,Jenny Lawson
BROWN GIRL DREAMING,Jacqueline Woodson
BUILT TO MOVE,Kelly Starrett and Juliet Starrett
CAN'T HURT ME,David Goggins
CASTE,Isabel Wilkerson
"CHAINSAW MAN, VOL. 1",Tatsuki Fujimoto
CITY OF THE DEAD,Jonathan Kellerman
CITY ON FIRE,Don Winslow
CITY SPIES,James Ponti
CLIVE CUSSLER'S DARK VECTOR,Graham Brown
CLOUD CUCKOO LAND,Anthony Doerr
COMEDY COMEDY COMEDY DRAMA,Bob Odenkirk
COMPLICATIONS,Danielle Steel
CON POLLO,Jimmy Fallon and Jennifer Lopez.
CONSTRUCTION SITE ON CHRISTMAS NIGHT,Sherri Duskey Rinker.
CONSTRUCTION SITE: TAKING FLIGHT!,Sherri Duskey Rinker.
COUNTDOWN,James Patterson and Brendan DuBois
COUNTRY BORN,Linda Lael Miller
COURAGE IS CALLING,Ryan Holiday
CRAVE,Tracy Wolff
CRYING IN H MART,Michelle Zauner
CURIOUS TIDES,Pascale Lacelle
DAISY JONES & THE SIX,Taylor Jenkins Reid
DARE TO LEAD,Brené Brown
DARK SKY,C.J. Box
DASHER,Matt Tavares
DAUGHTER OF THE DEEP,Rick Riordan
DAUGHTER OF THE MORNING STAR,Craig Johnson
DEAD FALL,Brad Thor
